जिला,"विधानसभा
",नगर पालिका
सीतापुर,149. Biswan,नगर पालिका परिषद - 1-विसंवा
सीतापुर,148. Laharpur,नगर पालिका परिषद - 2-लहरपुर
सीतापुर,153. Mishrikh,नगर पालिका परिषद - 3-मिश्रिख नौमिषारण्य
सीतापुर,146. Sitapur,नगर पालिका परिषद - 4-खैराबाद
सीतापुर,146. Sitapur,नगर पालिका परिषद - 6-सीतापुर
सुलतानपुर,188. Sultanpur,नगर पालिका परिषद - 1-सुलतानपुर
सोनभद्र,403. Duddhi,नगर पालिका परिषद - 1-सोनभद्र
हमीरपुर,228. Hamirpur,नगर पालिका परिषद - 1-हमीरपुर
हमीरपुर,229. Rath,नगर पालिका परिषद - 2-राठ
हरदोई,159. Bilgram Mallanwan,नगर पालिका परिषद - 1-बिलग्राम
हरदोई,159. Bilgram Mallanwan,नगर पालिका परिषद - 2-मल्लाबाँ
हरदोई,156. Hardoi,नगर पालिका परिषद - 7-हरदोई
हाथरस,78. Hathras,नगर पालिका परिषद - 1-हाथरस
हाथरस,80. Sikandra Rao,नगर पालिका परिषद - 2-सिकन्दराराऊ
हापुड़,60. Garhmukteshwar,नगर पालिका परिषद - 2-गढमुक्तेश्वर
हापुड़,58. Dholana,नगर पालिका परिषद - 3-पिलखुवा
प्रतापगढ़,248. Pratapgarh,बेल्हा प्रतापगढ
लखीमपुर खीरी,137. Paliya,पलिया कलां
ललितपुर,226. Lalitpur,ललितपुर
सीतापुर,153. Mishrikh,मिश्रिख नौमिषारण्य
