जिला,विधानसभा,जिला पंचायत वार्ड
गाज़ीपुर,377. Zahoorabad,1-बाराचवर प्रथम
गाज़ीपुर,377. Zahoorabad,2-बाराचवर द्वितीय
गाज़ीपुर,377. Zahoorabad,3-बाराचवर तृतीय
गाज़ीपुर,377. Zahoorabad,4-बाराचवर चतुर्थ
गाज़ीपुर,377. Zahoorabad,5-कासिमाबाद प्रथम
गाज़ीपुर,377. Zahoorabad,6-कासिमाबाद द्वितीय
गाज़ीपुर,377. Zahoorabad,7-कासिमाबाद तृतीय
गाज़ीपुर,377. Zahoorabad,8-कासिमाबाद चतुर्थ
गाज़ीपुर,377. Zahoorabad,9-कासिमाबाद पंचम
गाज़ीपुर,377. Zahoorabad,10-कासिमाबाद षष्टम
गाज़ीपुर,377. Zahoorabad,11-मरदह प्रथम
गाज़ीपुर,377. Zahoorabad,12-मरदह द्वितीय
गाज़ीपुर,376. Jangipur,13-मरदह तृतीय
गाज़ीपुर,376. Jangipur,14-बिरनों प्रथम
गाज़ीपुर,376. Jangipur,15-बिरनों द्वितीय
गाज़ीपुर,376. Jangipur,16- बिरनों तृतीय
गाज़ीपुर,373. Jakhanian,17-मनिहारी प्रथम
गाज़ीपुर,373. Jakhanian,18-मनिहारी द्वितीय
गाज़ीपुर,373. Jakhanian,19-मनिहारी तृतीय
गाज़ीपुर,375. Ghazipur Sadar,20-मनिहारी चतुर्थ
गाज़ीपुर,373. Jakhanian,21-मनिहारी पंचम
गाज़ीपुर,373. Jakhanian,22-जखनियॉ प्रथम
गाज़ीपुर,373. Jakhanian,23-जखनियॉ द्वितीय
गाज़ीपुर,373. Jakhanian,24-जखनियॉ तृतीय
गाज़ीपुर,373. Jakhanian,25-जखनियॉ चतुर्थ
गाज़ीपुर,373. Jakhanian,26-जखनियॉ पंचम
गाज़ीपुर,373. Jakhanian,27-सादात प्रथम
गाज़ीपुर,373. Jakhanian,28-सादात द्वितीय
गाज़ीपुर,373. Jakhanian,29-सादात तृतीय
गाज़ीपुर,374. Saidpur,30-सैदपुर प्रथम
गाज़ीपुर,374. Saidpur,31-सैदपुर द्वितीय
गाज़ीपुर,374. Saidpur,32-सैदपुर तृतीय
गाज़ीपुर,374. Saidpur,33-सैदपुर चतुर्थ
गाज़ीपुर,374. Saidpur,34-सैदपुर पंचम
गाज़ीपुर,374. Saidpur,35-देवकली प्रथम
गाज़ीपुर,374. Saidpur,36-देवकली द्वितीय
गाज़ीपुर,374. Saidpur,37-देवकली तृतीय
गाज़ीपुर,375. Ghazipur Sadar,38-देवकली चतुर्थ
गाज़ीपुर,375. Ghazipur Sadar,39-देवकली पंचम
गाज़ीपुर,375. Ghazipur Sadar,40-करण्डा प्रथम
गाज़ीपुर,375. Ghazipur Sadar,41-करण्डा द्वितीय
गाज़ीपुर,375. Ghazipur Sadar,42-करण्डा तृतीय
गाज़ीपुर,375. Ghazipur Sadar,43-सदर प्रथम
गाज़ीपुर,376. Jangipur,44-सदर द्वितीय
गाज़ीपुर,376. Jangipur,45-सदर तृतीय
गाज़ीपुर,376. Jangipur,46-सदर चतुर्थ
गाज़ीपुर,376. Jangipur,47-रेवतीपुर प्रथम
गाज़ीपुर,378. Mohammadabad,48-रेवतीपुर द्वितीय
गाज़ीपुर,378. Mohammadabad,49-रेवतीपुर तृतीय
गाज़ीपुर,379. Zamaniya,50-रेवतीपुर चतुर्थ
गाज़ीपुर,379. Zamaniya,51-जमानियॉ प्रथम
गाज़ीपुर,379. Zamaniya,52-जमानियॉ द्वितीय
गाज़ीपुर,379. Zamaniya,53-जमानियॉ तृतीय
गाज़ीपुर,379. Zamaniya,54-जमानियॉ चतुर्थ
गाज़ीपुर,379. Zamaniya,55-जमानियॉ पंचम
गाज़ीपुर,379. Zamaniya,56-भदौरा प्रथम
गाज़ीपुर,379. Zamaniya,57-भदौरा द्वितीय
गाज़ीपुर,379. Zamaniya,58-भदौरा तृतीय
गाज़ीपुर,379. Zamaniya,59-भदौरा चतुर्थ
गाज़ीपुर,378. Mohammadabad,60-मुहम्मदाबाद प्रथम
गाज़ीपुर,378. Mohammadabad,61-मुहम्मदाबाद द्वितीय
गाज़ीपुर,378. Mohammadabad,62-मुहम्मदाबाद तृतीय
गाज़ीपुर,378. Mohammadabad,63-मुहम्मदाबाद चतुर्थ
गाज़ीपुर,378. Mohammadabad,64-भांवरकोल चतुर्थ
गाज़ीपुर,378. Mohammadabad,65-भांवरकोल प्रथम
गाज़ीपुर,378. Mohammadabad,66-भांवरकोल द्वितीय
गाज़ीपुर,378. Mohammadabad,67-भांवरकोल तृतीय
गोंडा,295. Mehnaun,1- इटियाथोक प्रथम
गोंडा,295. Mehnaun,2- इटियाथोक द्वितीय
गोंडा,295. Mehnaun,3- इटियाथोक तृतीय
गोंडा,295. Mehnaun,4- इटियाथोक चतुर्थ
गोंडा,297. Katra Bazar,5-रूपईडीह प्रथम
गोंडा,297. Katra Bazar,6-रूपईडीह द्वितीय
गोंडा,297. Katra Bazar,7-रूपईडीह तृतीय
गोंडा,297. Katra Bazar,8-रूपईडीह चतुर्थ
गोंडा,297. Katra Bazar,9-रूपईडीह पंचम
गोंडा,297. Katra Bazar,10-कटराबाजार प्रथम
गोंडा,297. Katra Bazar,11-कटराबाजार द्वितीय
गोंडा,297. Katra Bazar,12-कटराबाजार तृतीय
गोंडा,297. Katra Bazar,13-कटराबाजार चतुर्थ
गोंडा,297. Katra Bazar,14-हलधरमऊ प्रथम
गोंडा,297. Katra Bazar,15-हलधरमऊ द्वितीय
गोंडा,297. Katra Bazar,16-हलधरमऊ तृतीय
गोंडा,297. Katra Bazar,17-हलधरमऊ चतुर्थ
गोंडा,298. Colonelganj,18-करनैलगंज प्रथम
गोंडा,298. Colonelganj,19-करनैलगंज द्वितीय
गोंडा,298. Colonelganj,20-करनैलगंज तृतीय
गोंडा,298. Colonelganj,21- परसपुर प्रथम
गोंडा,298. Colonelganj,22- परसपुर द्वितीय
गोंडा,298. Colonelganj,23- परसपुर तृतीय
गोंडा,298. Colonelganj,24- परसपुर चतुर्थ
गोंडा,298. Colonelganj,25- परसपुर पंचम
गोंडा,299. Tarabganj,26- बेलसर प्रथम
गोंडा,299. Tarabganj,27- बेलसर द्वितीय
गोंडा,299. Tarabganj,28- बेलसर तृतीय
गोंडा,299. Tarabganj,29- बेलसर चतुर्थ
गोंडा,299. Tarabganj,30- तरबगंज प्रथम
गोंडा,299. Tarabganj,31- तरबगंज द्वितीय
गोंडा,299. Tarabganj,32- तरबगंज तृतीय
गोंडा,299. Tarabganj,33- तरबगंज चतुर्थ
गोंडा,299. Tarabganj,34- वजीरगंज प्रथम
गोंडा,299. Tarabganj,35- वजीरगंज द्वितीय
गोंडा,299. Tarabganj,36- वजीरगंज तृतीय
गोंडा,299. Tarabganj,37-नवाबगंज प्रथम
गोंडा,299. Tarabganj,38-नवाबगंज द्वितीय
गोंडा,299. Tarabganj,39-नवाबगंज तृतीय
गोंडा,299. Tarabganj,40-नवाबगंज चतुर्थ
गोंडा,300. Mankapur,41-मनकापुर प्रथम
गोंडा,300. Mankapur,42-मनकापुर द्वितीय
गोंडा,300. Mankapur,43-मनकापुर तृतीय
गोंडा,300. Mankapur,44-मनकापुर चतुर्थ
गोंडा,300. Mankapur,45-मनकापुर पंचम
गोंडा,301. Gaura,46-छपिया प्रथम
गोंडा,301. Gaura,47-छपिया द्वितीय
गोंडा,301. Gaura,48-छपिया तृतीय
गोंडा,301. Gaura,49-छपिया चतुर्थ
गोंडा,301. Gaura,50-बभनजोत प्रथम
गोंडा,301. Gaura,51-बभनजोत द्वितीय
गोंडा,301. Gaura,52-बभनजोत तृतीय
गोंडा,301. Gaura,53-बभनजोत चतुर्थ
गोंडा,295. Mehnaun,54-मुजेहना प्रथम
गोंडा,295. Mehnaun,55-मुजेहना द्वितीय
गोंडा,295. Mehnaun,56-मुजेहना तृतीय
गोंडा,295. Mehnaun,57-मुजेहना चतुर्थ
गोंडा,296. Gonda,58-पण्डरीकृपाल प्रथम
गोंडा,296. Gonda,59-पण्डरीकृपाल द्वितीय
गोंडा,296. Gonda,60-पण्डरीकृपाल तृतीय
गोंडा,296. Gonda,61-झंझरी प्रथम
गोंडा,296. Gonda,62-झंझरी द्वितीय
गोंडा,296. Gonda,63-झंझरी तृतीय
गोंडा,296. Gonda,64-झंझरी चतुर्थ
गोंडा,296. Gonda,65-झंझरी पंचम
गोरखपुर,321. Pipraich,1-पिपराइच प्रथम
गोरखपुर,321. Pipraich,2-पिपराइच द्वितीय
गोरखपुर,321. Pipraich,3-पिपराइच तृतीय
गोरखपुर,321. Pipraich,4-पिपराइच एवं  भटहट
गोरखपुर,321. Pipraich,5-भटहट प्रथम
गोरखपुर,321. Pipraich,6-भटहट द्वितीय
गोरखपुर,321. Pipraich,7-भटहट तृतीय
गोरखपुर,321. Pipraich,8-भटहट एवं  चरगांवा
गोरखपुर,321. Pipraich,9-चरगांवा प्रथम
गोरखपुर,321. Pipraich,10-चरगांवा द्वितीय
गोरखपुर,321. Pipraich,11-चरगांवा तृतीय
गोरखपुर,320. Campiyarganj,12-जंगल कौड़िया प्रथम
गोरखपुर,320. Campiyarganj,13-जंगल कौड़िया द्वितीय
गोरखपुर,320. Campiyarganj,14-जं0 कौड़िया भरोहिया
गोरखपुर,320. Campiyarganj,15-भरोहिया प्रथम
गोरखपुर,320. Campiyarganj,16-भरोहिया कैम्पियरगंज
गोरखपुर,320. Campiyarganj,17-कैम्पियरगंज प्रथम
गोरखपुर,320. Campiyarganj,18-कैम्पियरगंज द्वितीय
गोरखपुर,320. Campiyarganj,19-कैम्पियरगंज तृतीय
गोरखपुर,320. Campiyarganj,20-कैम्पियरगंज चतुर्थ
गोरखपुर,324. Sahajanwa,21-पाली  प्रथम
गोरखपुर,324. Sahajanwa,22-पाली द्वितीय
गोरखपुर,324. Sahajanwa,23-पाली  एवं  सहजनवां
गोरखपुर,324. Sahajanwa,24-सहजनवां प्रथम
गोरखपुर,324. Sahajanwa,25-सहजनवां  द्वितीय
गोरखपुर,324. Sahajanwa,26-सहजनवां तृतीय
गोरखपुर,321. Pipraich,27-पिपरौली प्रथम
गोरखपुर,324. Sahajanwa,28-पिपरौली द्वितीय
गोरखपुर,324. Sahajanwa,29-पिपरौली तृतीय
गोरखपुर,324. Sahajanwa,30-पिपरौली एवं  खजनी
गोरखपुर,325. Khajani,31-खजनी प्रथम
गोरखपुर,325. Khajani,32-खजनी  द्वितीय
गोरखपुर,325. Khajani,33-खजनी  तृतीय
गोरखपुर,325. Khajani,34-खजनी एवं  बेलघाट
गोरखपुर,325. Khajani,35-बेलघाट प्रथम
गोरखपुर,325. Khajani,36-बेलघाट  द्वितीय
गोरखपुर,325. Khajani,37-बेलघाट  तृतीय
गोरखपुर,328. Chillupar,38-बेलघाट  एवं उरूवा
गोरखपुर,328. Chillupar,39-उरूवा प्रथम
गोरखपुर,328. Chillupar,40-उरूवा  द्वितीय
गोरखपुर,328. Chillupar,41-उरूवा  तृतीय
गोरखपुर,328. Chillupar,42-उरूवा  एवं गोला
गोरखपुर,328. Chillupar,43-गोला प्रथम
गोरखपुर,328. Chillupar,44-गोला द्वितीय
गोरखपुर,328. Chillupar,45-बड़हलगंज प्रथम
गोरखपुर,328. Chillupar,46-बड़हलगंज  द्वितीय
गोरखपुर,328. Chillupar,47-बड़हलगंज  तृतीय
गोरखपुर,328. Chillupar,48-बड़हलगंज  एवं  गगहा
गोरखपुर,328. Chillupar,49- गगहा  प्रथम
गोरखपुर,327. Bansgaon,50-गगहा द्वितीय
गोरखपुर,327. Bansgaon,51-गगहा तृतीय
गोरखपुर,327. Bansgaon,52-गगहा एवं  बांसगांव
गोरखपुर,327. Bansgaon,53-बांसगांव प्रथम
गोरखपुर,327. Bansgaon,54-बांसगांव  द्वितीय
गोरखपुर,327. Bansgaon,55-बांसगांव  एवं कौड़ीराम
गोरखपुर,327. Bansgaon,56-कौड़ीराम प्रथम
गोरखपुर,327. Bansgaon,57-कौड़ीराम  द्वितीय
गोरखपुर,327. Bansgaon,58-कौड़ीराम तृतीय
गोरखपुर,327. Bansgaon,59-कौड़ीराम एवं   ब्रम्हपुर
गोरखपुर,325. Khajani,60-ब्रम्हपुर प्रथम
गोरखपुर,325. Khajani,61-ब्रम्हपुर  द्वितीय
गोरखपुर,325. Khajani,62-ब्रम्हपुर तृतीय
गोरखपुर,321. Pipraich,63-ब्रम्हपुर एवं  खोराबार
गोरखपुर,321. Pipraich,64-खोराबार प्रथम
गोरखपुर,321. Pipraich,65-खोराबार  द्वितीय
गोरखपुर,326. Chauri Chaura,66-सरदारनगर  प्रथम
गोरखपुर,326. Chauri Chaura,67-सरदारनगर द्वितीय
गोरखपुर,326. Chauri Chaura,68-सरदारनगर तृतीय
गौतमबुद्ध नगर,62. Dadri,1 - बिसरख 1
गौतमबुद्ध नगर,62. Dadri,2 - बिसरख 2
गौतमबुद्ध नगर,62. Dadri,3 - दादरी 3
गौतमबुद्ध नगर,62. Dadri,4 - दादरी 4
गौतमबुद्ध नगर,63. Jewar,5 - जेवर 1
चन्दौली,382. Saiyadraja,1-धानापुर प्रथम
चन्दौली,382. Saiyadraja,2-धानापुर द्वितीय
चन्दौली,382. Saiyadraja,3-धानापुर तृतीय
चन्दौली,382. Saiyadraja,4-धानापुर चतुर्थ
चन्दौली,381. Sakaldiha,5-चहनियां  प्रथम
चन्दौली,381. Sakaldiha,6-चहनियां  द्वितीय
चन्दौली,381. Sakaldiha,7-चहनियां तृतीय
चन्दौली,381. Sakaldiha,8-चहनियां चतुर्थ
चन्दौली,381. Sakaldiha,9-सकलडीहा प्रथम
चन्दौली,381. Sakaldiha,10-सकलडीहा द्वितीय
चन्दौली,381. Sakaldiha,11-सकलडीहा  तृतीय
चन्दौली,381. Sakaldiha,12-सकलडीहा  चतुर्थ
चन्दौली,381. Sakaldiha,13-सकलडीहा पंचम
चन्दौली,380. Mughalsarai,14-नियामताबाद  प्रथम
चन्दौली,380. Mughalsarai,15-नियामताबाद  द्वितीय
चन्दौली,380. Mughalsarai,16-नियामताबाद  तृतीय
चन्दौली,380. Mughalsarai,17-नियामताबाद  चतुर्थ
चन्दौली,380. Mughalsarai,18-नियामताबाद पंचम
चन्दौली,380. Mughalsarai,19-नियामताबाद षष्ठ
चन्दौली,380. Mughalsarai,20-चन्दौली  प्रथम
चन्दौली,380. Mughalsarai,21-चन्दौली द्वितीय
चन्दौली,380. Mughalsarai,22-चन्दौली तृतीय
चन्दौली,380. Mughalsarai,23-चन्दौली चतुर्थ
चन्दौली,383. Chakia,24-चकिया  प्रथम
चन्दौली,383. Chakia,25-चकिया द्वितीय
चन्दौली,383. Chakia,26-चकिया तृतीय
चन्दौली,383. Chakia,27-नौगढ़ प्रथम
चन्दौली,383. Chakia,28-नौगढ़  द्वितीय
चन्दौली,383. Chakia,29-शहाबगंज प्रथम
चन्दौली,383. Chakia,30-शहाबगंज द्वितीय
चन्दौली,383. Chakia,31-शहाबगंज तृतीय
चन्दौली,382. Saiyadraja,32-बरहनी प्रथम
चन्दौली,382. Saiyadraja,33-बरहनी  द्वितीय
चन्दौली,382. Saiyadraja,34-बरहनी तृतीय
चन्दौली,382. Saiyadraja,35-बरहनी चतुर्थ
चित्रकूट,236. Chitrakoot,1-बरगढ़
चित्रकूट,237. Manikpur,2-मण्डौर
चित्रकूट,236. Chitrakoot,3-खण्‍डेहा
चित्रकूट,237. Manikpur,4-हन्नाबिनैका
चित्रकूट,236. Chitrakoot,5-इटावा
चित्रकूट,236. Chitrakoot,6-भदेदू
चित्रकूट,236. Chitrakoot,7-सरधुवा
चित्रकूट,236. Chitrakoot,8-ओरा
चित्रकूट,236. Chitrakoot,9-पहाड़ी
चित्रकूट,236. Chitrakoot,10-परसौजा
चित्रकूट,236. Chitrakoot,11-भैसौधा
चित्रकूट,236. Chitrakoot,12-अकबरपुर
चित्रकूट,236. Chitrakoot,13-रसिन
चित्रकूट,236. Chitrakoot,14-रैपुरा
चित्रकूट,237. Manikpur,15-भौरी
चित्रकूट,236. Chitrakoot,16-सरैया
चित्रकूट,237. Manikpur,17-चुरेहकशेरुवा
जालौन,219. Madhogarh,1-बबीना
जालौन,219. Madhogarh,2-अकबरपुर
जालौन,220. Kalpi,3-परासन
जालौन,220. Kalpi,4-चतेला
जालौन,220. Kalpi,5-ऐंर
जालौन,221. Orai,6-डकोर
जालौन,221. Orai,7-जैसारी कला
जालौन,220. Kalpi,8-गढ़र
जालौन,220. Kalpi,9-दिरावटी
जालौन,221. Orai,10-पहाड़गांव
जालौन,219. Madhogarh,11-कैलिया बुजुर्ग
जालौन,219. Madhogarh,12-खकसीस
जालौन,219. Madhogarh,13-रेढ़र
जालौन,219. Madhogarh,14-सिकरी राजा
जालौन,220. Kalpi,15-सहाव
जालौन,220. Kalpi,16-शहजादपुरा
जालौन,219. Madhogarh,17-गोहन
जालौन,219. Madhogarh,18-हरौली
जालौन,219. Madhogarh,19-मई
जालौन,219. Madhogarh,20-जगम्मनपुर
जालौन,219. Madhogarh,21-बावली
जालौन,221. Orai,22-सिरसा कलार
जालौन,219. Madhogarh,23-कुठौन्द
जालौन,220. Kalpi,24-महेवा
जालौन,220. Kalpi,25-चुर्खी
जौनपुर,366. Jaunpur,1-करंजाकला प्रथम
जौनपुर,366. Jaunpur,2-करंजाकला द्वितीय
जौनपुर,366. Jaunpur,3-करंजाकला तृतीय
जौनपुर,366. Jaunpur,4-करंजाकला चतुर्थ
जौनपुर,366. Jaunpur,5-करंजाकला पंचम
जौनपुर,365. Shahganj,6-शाहगंज प्रथम
जौनपुर,365. Shahganj,7-शाहगंज द्वितीय
जौनपुर,365. Shahganj,8-शाहगंज तृतीय
जौनपुर,365. Shahganj,9-शाहगंज चतुर्थ
जौनपुर,365. Shahganj,10-शाहगंज पंचम
जौनपुर,365. Shahganj,11-शाहगंज षष्टम
जौनपुर,365. Shahganj,12-सुईथाकला प्रथम
जौनपुर,365. Shahganj,13-सुईथाकला  द्वितीय
जौनपुर,365. Shahganj,14-सुईथाकला  तृतीय
जौनपुर,365. Shahganj,15-सुईथाकला चतुर्थ
जौनपुर,365. Shahganj,16-खुटहन प्रथम
जौनपुर,365. Shahganj,17-खुटहन द्वितीय
जौनपुर,365. Shahganj,18-खुटहन तृतीय
जौनपुर,365. Shahganj,19-खुटहन चतुर्थ
जौनपुर,364. Badlapur,20-बदलापुर  प्रथम
जौनपुर,364. Badlapur,21-बदलापुर  द्वितीय
जौनपुर,364. Badlapur,22-बदलापुर तृतीय
जौनपुर,364. Badlapur,23-बदलापुर  चतुर्थ
जौनपुर,367. Malhani,24-बक्शा प्रथम
जौनपुर,367. Malhani,25-बक्शा  द्वितीय
जौनपुर,367. Malhani,26-बक्शा तृतीय
जौनपुर,367. Malhani,27-बक्शा चतुर्थ
जौनपुर,364. Badlapur,28-महराजगंज प्रथम
जौनपुर,364. Badlapur,29-महराजगंज द्वितीय
जौनपुर,364. Badlapur,30-महराजगंज तृतीय
जौनपुर,368. Mungra Badshahpur,31-सुजानगंज प्रथम
जौनपुर,368. Mungra Badshahpur,32-सुजानगंज द्वितीय
जौनपुर,368. Mungra Badshahpur,33-सुजानगंज तृतीय
जौनपुर,368. Mungra Badshahpur,34-सुजानगंज चतुर्थ
जौनपुर,368. Mungra Badshahpur,35-मु0 बादशाहपुर प्रथम
जौनपुर,368. Mungra Badshahpur,36-मु0 बादशाहपुर द्वितीय
जौनपुर,368. Mungra Badshahpur,37-मु0 बादशाहपुर तृतीय
जौनपुर,368. Mungra Badshahpur,38-मु0 बादशाहपुर  चतुर्थ
जौनपुर,369. Machhlishahar,39-मछलीशहर प्रथम
जौनपुर,369. Machhlishahar,40-मछलीशहर द्वितीय
जौनपुर,369. Machhlishahar,41-मछलीशहर तृतीय
जौनपुर,369. Machhlishahar,42-मछलीशहर चतुर्थ
जौनपुर,367. Malhani,43-सिकरारा प्रथम
जौनपुर,367. Malhani,44-सिकरारा  द्वितीय
जौनपुर,367. Malhani,45-सिकरारा  तृतीय
जौनपुर,367. Malhani,46-सिकरारा चतुर्थ
जौनपुर,370. Mariyahu,47-मड़ियाहूॅ  प्रथम
जौनपुर,370. Mariyahu,48-मड़ियाहूॅ द्वितीय
जौनपुर,370. Mariyahu,49-मड़ियाहूॅ  तृतीय
जौनपुर,370. Mariyahu,50-मड़ियाहूॅ चतुर्थ
जौनपुर,369. Machhlishahar,51-बरसठी प्रथम
जौनपुर,369. Machhlishahar,52-बरसठी द्वितीय
जौनपुर,369. Machhlishahar,53-बरसठी  तृतीय
जौनपुर,369. Machhlishahar,54-बरसठी चतुर्थ
जौनपुर,370. Mariyahu,55-रामपुर  प्रथम
जौनपुर,370. Mariyahu,56-रामपुर  द्वितीय
जौनपुर,370. Mariyahu,57-रामपुर  तृतीय
जौनपुर,370. Mariyahu,58-रामपुर  चतुर्थ
जौनपुर,370. Mariyahu,59-रामनगर प्रथम
जौनपुर,370. Mariyahu,60-रामनगर  द्वितीय
जौनपुर,370. Mariyahu,61-रामनगर  तृतीय
जौनपुर,370. Mariyahu,62-रामनगर चतुर्थ
जौनपुर,371. Jafrabad,63-जलालपुर प्रथम
जौनपुर,371. Jafrabad,64-जलालपुर द्वितीय
जौनपुर,371. Jafrabad,65-जलालपुर तृतीय
जौनपुर,371. Jafrabad,66-जलालपुर  चतुर्थ
जौनपुर,371. Jafrabad,67-सिरकोनी प्रथम
जौनपुर,371. Jafrabad,68-सिरकोनी  द्वितीय
जौनपुर,371. Jafrabad,69-सिरकोनी तृतीय
जौनपुर,371. Jafrabad,70-सिरकोनी  चतुर्थ
जौनपुर,371. Jafrabad,71-धर्मापुर प्रथम
जौनपुर,371. Jafrabad,72-धर्मापुर द्वितीय
जौनपुर,371. Jafrabad,73-धर्मापुर तृतीय
जौनपुर,372. Kerakat,74-मुफ्तीगंज प्रथम
जौनपुर,372. Kerakat,75-मुफ्तीगंज  द्वितीय
जौनपुर,372. Kerakat,76-मुफ्तीगंज तृतीय
जौनपुर,372. Kerakat,77-केराकत प्रथम
जौनपुर,372. Kerakat,78-केराकत  द्वितीय
जौनपुर,372. Kerakat,79-केराकत तृतीय
जौनपुर,372. Kerakat,80-केराकत चतुर्थ
जौनपुर,372. Kerakat,81-डोभी प्रथम
जौनपुर,372. Kerakat,82-डोभी द्वितीय
जौनपुर,372. Kerakat,83-डोभी  तृतीय
झांसी,225. Garautha,1-पूँछ
झांसी,225. Garautha,2-साकिन
झांसी,225. Garautha,3-भरोसा
झांसी,225. Garautha,4-सेमरी
झांसी,225. Garautha,5-पहाड़ीबुजुर्ग
झांसी,224. Mauranipur,6-बघैरा
झांसी,222. Babina,7-भोजला
झांसी,222. Babina,8-फुटेरा बरूआसागर
झांसी,222. Babina,9-रक्सा
झांसी,222. Babina,10-राजापुर
झांसी,222. Babina,11-खैलार
झांसी,222. Babina,12-बबीना रूरल
झांसी,224. Mauranipur,13-सकरार
झांसी,224. Mauranipur,14-बंगराधवा
झांसी,224. Mauranipur,15-देवरी सिंहपुरा
झांसी,224. Mauranipur,16-भदरवारा
झांसी,224. Mauranipur,17-स्यावरी
झांसी,224. Mauranipur,18-चुरारा
झांसी,222. Babina,19-सिमरधा
झांसी,225. Garautha,20-मारकुआँ
झांसी,225. Garautha,21-भस्नेह
झांसी,225. Garautha,22-ककरबई
झांसी,225. Garautha,23-कुरैठा
झांसी,225. Garautha,24-बिलाटीकरके
देवरिया,338. Pathardeva,1-पथरदे वा पूर्वी
देवरिया,338. Pathardeva,2-पथरदेवा उत्तरी
देवरिया,338. Pathardeva,3-पथरदेवा दक्षिणी
देवरिया,338. Pathardeva,4-पथरदेवा एवं तरकुलवा आंशिक
देवरिया,338. Pathardeva,5-तरकुलवा पूर्वी
देवरिया,338. Pathardeva,6-तरकुलवा पश्चिमी
देवरिया,338. Pathardeva,7-देसही उत्तरी
देवरिया,338. Pathardeva,8-देसही दक्षिणी
देवरिया,338. Pathardeva,9-देसही आंशिक एवं बैतालपुर आंशिक
देवरिया,339. Rampur Karkhana,10-रामपुर कारखाना उत्तरी
देवरिया,339. Rampur Karkhana,11-रामपुर कारखाना मध्य
देवरिया,339. Rampur Karkhana,12-रामपुर कारखाना दक्षिणी
देवरिया,339. Rampur Karkhana,13-बैतालपुर उत्तरी
देवरिया,339. Rampur Karkhana,14-बैतालपुर मध्य
देवरिया,339. Rampur Karkhana,15-बैतालपुर मध्य दक्षिणी
देवरिया,339. Rampur Karkhana,16-बैतालपुर दक्षिणी
देवरिया,336. Rudrapur,17-गौरी बाजार उत्तरी
देवरिया,336. Rudrapur,18-गौरी बाजार उत्तरी मध्य
देवरिया,336. Rudrapur,19-गौरी बाजार दक्षिणी मध्य
देवरिया,336. Rudrapur,20-गौरी बाजार दक्षिणी
देवरिया,336. Rudrapur,21-गौरीबाजार आंशिक एवं रूद्रपुर आंशिक
देवरिया,336. Rudrapur,22-रूद्रपुर पूर्वी
देवरिया,336. Rudrapur,23-रूद्रपुर पश्चिमी
देवरिया,336. Rudrapur,24-रूद्रपुर दक्षिणी
देवरिया,342. Barhaj,25-भलुअनी पश्चिमी
देवरिया,342. Barhaj,26-भलअनी पश्चिमी मध्य
देवरिया,342. Barhaj,27-भलुअनी पूर्वी मध्य
देवरिया,342. Barhaj,28-भलुअनी आंशिक एवं सलेमपुर आशिक
देवरिया,342. Barhaj,29-बरहज आंशिक एवं रूद्रपुर आंशिक
देवरिया,342. Barhaj,30-बरहज मध्य
देवरिया,342. Barhaj,31-बरहज पूर्वी
देवरिया,342. Barhaj,32-भागलपुर उत्तरी
देवरिया,342. Barhaj,33-भागलपुर मध्य
देवरिया,342. Barhaj,34-भागलपुर दक्षिणी आंशिक एवं लार आंशिक
देवरिया,341. Salempur,35-लार पूर्वी
देवरिया,341. Salempur,36-लार पश्चिमी
देवरिया,341. Salempur,37-लार दक्षिणी
देवरिया,341. Salempur,38-सलेमपुर उत्तरी
देवरिया,341. Salempur,39-सलेमपुर पश्चिमी
देवरिया,341. Salempur,40-सलेमपुर पूर्वी उत्तरी
देवरिया,341. Salempur,41-सलेमपुर आंशिक एवं भाटपाररानी आंशिक
देवरिया,340. Bhatpar Rani,42-भाटपाररानी पूर्वी
देवरिया,340. Bhatpar Rani,43-भाटपाररानी उत्तरी
देवरिया,340. Bhatpar Rani,44-भाटपाररानी पश्चिमी
देवरिया,340. Bhatpar Rani,45-भाटपाररानी आंशिक एवं बनकटा आंशिक
देवरिया,340. Bhatpar Rani,46-बनकटा उत्तरी
देवरिया,340. Bhatpar Rani,47-बनकटा मध्य
देवरिया,340. Bhatpar Rani,48-बनकटा दक्षिणी
देवरिया,340. Bhatpar Rani,49-भटनी पूर्वी
देवरिया,340. Bhatpar Rani,50-भटनी पश्चिमी
देवरिया,340. Bhatpar Rani,51-भटनी दक्षिणी
देवरिया,337. Deoria,52-देवरिया आंशिक एवं भटनी आंशिक
देवरिया,337. Deoria,53-देवरिया पूर्वी
देवरिया,337. Deoria,54-देवरियासदर उत्तरी मध्य
देवरिया,337. Deoria,55-देवरियासदर पश्चिमी
देवरिया,337. Deoria,56-देवरियासदर दक्षिणी
पीलीभीत,129. Puranpur,1-वार्ड सं0- 1
पीलीभीत,129. Puranpur,2-वार्ड सं0. 2
पीलीभीत,129. Puranpur,3-वार्ड सं0 3
पीलीभीत,129. Puranpur,4-वार्ड सं0 4
पीलीभीत,129. Puranpur,5-वार्ड सं0 5
पीलीभीत,129. Puranpur,6-वार्ड सं0 6
पीलीभीत,129. Puranpur,7-वार्ड सं0 7
पीलीभीत,129. Puranpur,8-वार्ड सं0 8
पीलीभीत,129. Puranpur,9-वार्ड सं0 9
पीलीभीत,129. Puranpur,10-वार्ड सं0 10
